,tv_title,release_year,imdb_rating,genres,runtime,age_rating,production_country,streaming_on
92, The Vampire Diaries ,(2009),7.7,"Drama, Science-Fiction, Horror, Romance, Mystery & Thriller, Fantasy",42min,U,United States,Amazon Prime Video
93, Gullak ,(2019),9.1,"Kids & Family, Comedy, Drama",30min,,India,VI movies and tv
94, Suits ,(2011),8.4,"Comedy, Drama",44min,,United States,Amazon Prime Video
95, Murshid ,(2024),0.0,"Mystery & Thriller, Crime",34min,A,India,Zee5
96, Young Sheldon ,(2017),7.7,"Comedy, Kids & Family, Drama",19min,,United States,Amazon Prime Video
97, Prison Break ,(2005),8.3,"Action & Adventure, Crime, Drama, Mystery & Thriller, Made in Europe",49min,U,United States,Hotstar
98, Fallout ,(2024),8.4,"Drama, Science-Fiction, War & Military, Action & Adventure",59min,A,United States,Amazon Prime Video
99, Tracker ,(2024),7.0,"Drama, Crime",41min,,United States,Hotstar
100, From ,(2022),7.8,"Science-Fiction, Mystery & Thriller, Drama, Horror",50min,,United States,Amazon Prime Video
101, Taaza Khabar ,(2023),8.1,"Science-Fiction, Drama, Action & Adventure, Comedy, Fantasy, Mystery & Thriller",32min,,India,Hotstar
102, The Penguin ,(2024),8.8,"Drama, Crime, Fantasy",53min,,United States,Jio Cinema
103, XXX: Uncensored ,(2018),0.0,"Comedy, Romance, Drama",22min,,India,Alt Balaji
104, Mirzapur ,(2018),8.4,"Action & Adventure, Drama, Mystery & Thriller, Crime",50min,A,India,Amazon Prime Video
105,Sisters' Feud - Season 1 ,(2024),0.0,Drama,,,Mexico,
106,Sprint: The World's Fastest Humans - Season 2 ,(2024),0.0,"Documentary, Sport",38min,,"United States, United Kingdom",
107,Bad Sisters - Season 2 ,(2024),0.0,"Drama, Mystery & Thriller, Comedy, Crime",,,"United Kingdom, Ireland, United States, Belgium",
108,Children Ruin Everything - Season 4 ,(2024),0.0,Comedy,21min,,Canada,
109,The Mothers of Penguins - Season 1 ,(2024),0.0,"Drama, Kids & Family, Sport, Comedy",,,Poland,
